paper_id,title,domain,year,split,semantic_knn,predicted_novel
SKG_MT_1193,Non-Isomorphic Forest Pair Translation,MT,2010,SKG,1.0,1
SKG_MT_715,Automatic Evaluation of Translation Quality for Distant Language Pairs,MT,2010,SKG,1.0,1
SKG_DIA_209,Learning to Adapt to Unknown Users Referring Expression Generation in Spoken Dialogue Systems,DIA,2010,SKG,1.0,1
SKG_DIA_210,Fusing Eye Gaze with Speech Recognition Hypotheses to Resolve Exophoric References in Situated Dialogue,DIA,2010,SKG,1.0,1
SKG_MT_743,L1 Regularized Regression for Reranking and System Combination in Machine Translation,MT,2010,SKG,1.0,1
SKG_MT_771,Improved Models of Distortion Cost for Statistical Machine Translation,MT,2010,SKG,1.0,1
SKG_MT_620,Effects of Noun Phrase Bracketing in Dependency Parsing and Machine Translation,MT,2011,SKG,0.9220904111862184,0
SKG_MT_964,Noisy SMS Machine Translation in Low-Density Languages,MT,2011,SKG,0.9301103353500366,0
SKG_MT_966,An Interactive Machine Translation System with Online Learning,MT,2011,SKG,0.9168069958686828,0
SKG_MT_1227,Blast A Tool for Error Analysis of Machine Translation Output,MT,2011,SKG,0.8963740468025208,0
SKG_MT_1220,Hypothesis Mixture Decoding for Statistical Machine Translation,MT,2011,SKG,0.9335318803787231,0
SKG_MT_1399,From n-gram-based to CRF-based Translation Models,MT,2011,SKG,0.9141175150871276,0
SKG_QA_392,Question Detection in Spoken Conversations Using Textual Conversations,QA,2011,SKG,0.9164015650749208,0
SKG_MT_595,"RegMT System for Machine Translation, System Combination, and Evaluation",MT,2011,SKG,0.9287808537483216,0
SKG_QA_302,Learning to Grade Short Answer Questions using Semantic Similarity Measures and Dependency Graph Alignments,QA,2011,SKG,0.9208142161369324,0
SKG_MT_962,Phrase-Based Translation Model for Question Retrieval in Community Question Answer Archives,MT,2011,SKG,0.9182705879211426,0
SKG_QA_240,Query Snowball A Co-occurrence-based Approach to Multi-document Summarization for Question Answering,QA,2011,SKG,0.90122252702713,0
SKG_PAR_14,Evaluating Dependency Parsing Robust and Heuristics-Free Cross-Annotation Evaluation,PAR,2011,SKG,0.918910801410675,0
SKG_MT_496,Fast Generation of Translation Forest for Large-Scale SMT Discriminative Training,MT,2011,SKG,0.9401029348373412,0
SKG_MT_565,Improving On-line Handwritten Recognition using Translation Models in Multimodal Interactive Machine Translation,MT,2011,SKG,0.9278997182846068,0
SKG_PAR_34,Optimistic Backtracking - A Backtracking Overlay for Deterministic Incremental Parsing,PAR,2011,SKG,0.891863226890564,0
SKG_MT_58,Bayesian Extraction of Minimal SCFG Rules for Hierarchical Phrase-based Translation,MT,2011,SKG,0.9207253456115724,0
SKG_MT_557,Better Evaluation Metrics Lead to Better Machine Translation,MT,2011,SKG,0.9079809188842772,0
SKG_MT_87,Enhancing Language Models in Statistical Machine Translation with Backward N-grams and Mutual Information Triggers,MT,2011,SKG,0.9376262426376344,0
SKG_SA_567,Harnessing WordNet Senses for Supervised Sentiment Classification,SA,2011,SKG,0.9218093752861024,0
SKG_PAR_94,Accurate Parsing with Compact Tree-Substitution Grammars Double-DOP,PAR,2011,SKG,0.9246967434883118,0
SKG_MT_409,Spell Checking Techniques for Replacement of Unknown Words and Data Cleaning for Haitian Creole SMS Translation,MT,2011,SKG,0.9176657795906068,0
SKG_MT_144,Automatic Evaluation of Chinese Translation Output Word-Level or Character-Level,MT,2011,SKG,0.928850531578064,0
SKG_MT_117,Discriminative Feature-Tied Mixture Modeling for Statistical Machine Translation,MT,2011,SKG,0.9307611584663392,0
SKG_MT_1024,Bayesian Word Alignment for Statistical Machine Translation,MT,2011,SKG,0.9238992929458618,0
SKG_SA_505,Compositional Matrix-Space Models for Sentiment Analysis,SA,2011,SKG,0.919154167175293,0
SKG_MT_1306,Binarized Forest to String Translation,MT,2011,SKG,0.9360068440437316,0
SKG_SA_192,Subjectivity and Sentiment Analysis of Modern Standard Arabic,SA,2011,SKG,0.9257241487503052,0
SKG_SA_181,Dr Sentiment Knows Everything!,SA,2011,SKG,0.8732401132583618,0
SKG_DIA_253,Multimodal Menu-based Dialogue with Speech Cursor in DICO II+,DIA,2011,SKG,0.8462539911270142,0
SKG_MT_789,Improving Decoding Generalization for Tree-to-String Translation,MT,2011,SKG,0.9372465014457704,0
SKG_MT_1330,E-rating Machine Translation,MT,2011,SKG,0.9063087701797484,0
SKG_DIA_288,Learning the Information Status of Noun Phrases in Spoken Dialogues,DIA,2011,SKG,0.9205222129821776,0
SKG_MT_881,Consistent Translation using Discriminative Learning - A Translation Memory-inspired Approach,MT,2011,SKG,0.9359639883041382,0
SKG_SA_343,Using Multiple Sources to Construct a Sentiment Sensitive Thesaurus for Cross-Domain Sentiment Classification,SA,2011,SKG,0.9128748178482056,0
SKG_SA_351,Joint Bilingual Sentiment Classification with Unlabeled Parallel Corpora,SA,2011,SKG,0.9250504374504088,0
SKG_SUM_130,Ranking Human and Machine Summarization Systems,SUM,2011,SKG,0.9118784070014954,0
SKG_SUM_110,Query Snowball A Co-occurrence-based Approach to Multi-document Summarization for Question Answering,SUM,2011,SKG,0.9012225866317748,0
SKG_MT_800,Productive Generation of Compound Words in Statistical Machine Translation,MT,2011,SKG,0.9198769330978394,0
SKG_MT_1277,"Filtering Antonymous, Trend-Contrasting, and Polarity-Dissimilar Distributional Paraphrases for Improving Statistical Machine Translation",MT,2011,SKG,0.9274735450744628,0
SKG_MT_697,Learning to Transform and Select Elementary Trees for Improved Syntax-based Machine Translations,MT,2011,SKG,0.9403055310249328,0
SKG_DIA_213,An Affect-Enriched Dialogue Act Classification Model for Task-Oriented Dialogue,DIA,2011,SKG,0.9085873365402222,0
SKG_MT_712,Statistical Machine Translation with Local Language Models,MT,2011,SKG,0.9355198740959167,0
SKG_SA_77,Automatically Extracting Polarity-Bearing Topics for Cross-Domain Sentiment Classification,SA,2011,SKG,0.9285492897033693,0
SKG_MT_919,"A Large Scale Distributed Syntactic, Semantic and Lexical Language Model for Machine Translation",MT,2011,SKG,0.9286754727363586,0
SKG_MT_820,The Karlsruhe Institute of Technology Translation Systems for the WMT 2014,MT,2011,SKG,0.9412185549736024,0
SKG_SA_423,Target-dependent Twitter Sentiment Classification,SA,2011,SKG,0.9030024409294128,0
SKG_MT_813,Effective Use of Function Words for Rule Generalization in Forest-Based Translation,MT,2011,SKG,0.9405171275138856,0
SKG_DIA_233,Data-oriented Monologue-to-Dialogue Generation,DIA,2011,SKG,0.8982078433036804,0
SKG_QA_336,Phrase-Based Translation Model for Question Retrieval in Community Question Answer Archives,QA,2011,SKG,0.9182705879211426,0
SKG_MT_1003,On-line Language Model Biasing for Statistical Machine Translation,MT,2011,SKG,0.9326593279838562,0
SKG_MT_440,SampleRank Training for Phrase-Based Machine Translation,MT,2011,SKG,0.9285810589790344,0
SKG_MT_308,DFKI Hybrid Machine Translation System for WMT 2011 - On the Integration of SMT and RBMT,MT,2011,SKG,0.9181753396987916,0
SKG_MT_1132,TESLA at WMT 2011 Translation Evaluation and Tunable Metric,MT,2011,SKG,0.8417948484420776,0
SKG_MT_300,Machine Translation System Combination by Confusion Forest,MT,2011,SKG,0.9275730848312378,0
SKG_MT_368,Instance Selection for Machine Translation using Feature Decay Algorithms,MT,2011,SKG,0.9286657571792604,0
SKG_SUM_80,Discovery of Topically Coherent Sentences for Extractive Summarization,SUM,2011,SKG,0.9196549654006958,0
SKG_PAR_215,Unsupervised Dependency Parsing without Gold Part-of-Speech Tags,PAR,2011,SKG,0.9362363815307616,0
SKG_PAR_89,Effects of Noun Phrase Bracketing in Dependency Parsing and Machine Translation,PAR,2011,SKG,0.9220905303955078,0
SKG_SUM_45,Summarize What You Are Interested In An Optimization Framework for Interactive Personalized Summarization,SUM,2011,SKG,0.9024702906608582,0
SKG_MT_280,Cache-based Document-level Statistical Machine Translation,MT,2011,SKG,0.9221900701522828,0
SKG_QA_5,Using Syntactic and Semantic Structural Kernels for Classifying Definition Questions in Jeopardy!,QA,2011,SKG,0.9236072301864624,0
SKG_MT_1111,TESLA at WMT 2011 Translation Evaluation and Tunable Metric,MT,2011,SKG,0.8417948484420776,0
SKG_MT_286,Topic Adaptation for Lecture Translation through Bilingual Latent Semantic Models,MT,2011,SKG,0.9354451298713684,0
SKG_MT_1129,An Interactive Machine Translation System with Online Learning,MT,2011,SKG,0.9168069958686828,0
SKG_MT_389,N-gram-based Tense Models for Statistical Machine Translation,MT,2012,SKG,0.806627094745636,0
SKG_MT_283,Translation Model Based Cross-Lingual Language Model Adaptation from Word Models to Phrase Models,MT,2012,SKG,0.934609055519104,0
SKG_SUM_72,Combining Coherence Models and Machine Translation Evaluation Metrics for Summarization Evaluation,SUM,2012,SKG,0.9247158765792848,0
SKG_MT_234,Topic Models for Dynamic Translation Model Adaptation,MT,2012,SKG,0.9317084550857544,0
SKG_MT_1191,FBK Cross-Lingual Textual Entailment Without Translation,MT,2012,SKG,0.9397331476211548,0
SKG_MT_1400,Machine Learning for Hybrid Machine Translation,MT,2012,SKG,0.9392881393432616,0
SKG_QA_417,Towards Effective Tutorial Feedback for Explanation Questions A Dataset and Baselines,QA,2012,SKG,0.8839455842971802,0
SKG_MT_622,Collaborative Machine Translation Service for Scientific texts,MT,2012,SKG,0.9146378636360168,0
SKG_MT_1425,Selecting Data for English-to-Czech Machine Translation,MT,2012,SKG,0.9386529922485352,0
SKG_DIA_182,Optimising Incremental Dialogue Decisions Using Information Density for Interactive Systems,DIA,2012,SKG,0.924604058265686,0
SKG_MT_1236,LetsMT! Cloud-Based Platform for Do-It-Yourself Machine Translation,MT,2012,SKG,0.873160719871521,0
SKG_MT_945,Improved Reordering for Shallow-n Grammar based Hierarchical Phrase-based Translation,MT,2012,SKG,0.939919650554657,0
SKG_MT_7,A Ranking-based Approach to Word Reordering for Statistical Machine Translation,MT,2012,SKG,0.953448474407196,1
SKG_MT_576,SAGAN A Machine Translation Approach for Cross-Lingual Textual Entailment,MT,2012,SKG,0.9128580093383788,0
SKG_SA_554,Do Neighbours Help An Exploration of Graph-based Algorithms for Cross-domain Sentiment Classification,SA,2012,SKG,0.9202829599380492,0
SKG_MT_613,Optimized Online Rank Learning for Machine Translation,MT,2012,SKG,0.9293379783630372,0
SKG_MT_1473,Detecting Highly Confident Word Translations from Comparable Corpora without Any Prior Knowledge,MT,2012,SKG,0.945178210735321,0
SKG_MT_92,Smaller Alignment Models for Better Translations Unsupervised Word Alignment with the l0-norm,MT,2012,SKG,0.9361969828605652,0
SKG_QA_203,Sentence Dependency Tagging in Online Question Answering Forums,QA,2012,SKG,0.918955624103546,0
SKG_MT_78,Sentence Simplification by Monolingual Machine Translation,MT,2012,SKG,0.9361068606376648,0
SKG_MT_981,Language Resources Factory case study on the acquisition of Translation Memories,MT,2012,SKG,0.8982251286506653,0
SKG_MT_74,Translation Model Adaptation for Statistical Machine Translation with Monolingual Topic Information,MT,2012,SKG,0.9288231134414672,0
SKG_QA_219,Community Answer Summarization for Multi-Sentence Question with Group L1 Regularization,QA,2012,SKG,0.7752321362495422,0
SKG_MT_89,Machine Translation of Arabic Dialects,MT,2012,SKG,0.9286999702453612,0
SKG_MT_85,Translation Model Size Reduction for Hierarchical Phrase-based Statistical Machine Translation,MT,2012,SKG,0.9423295855522156,0
SKG_MT_131,Inducing a Discriminative Parser to Optimize Machine Translation Reordering,MT,2012,SKG,0.9395315051078796,0
SKG_SA_565,Identifying High-Impact Sub-Structures for Convolution Kernels in Document-level Sentiment Classification,SA,2012,SKG,0.9297029376029968,0
SKG_MT_535,A Topic Similarity Model for Hierarchical Phrase-based Translation,MT,2012,SKG,0.9369348287582396,0
SKG_MT_550,Continuous Space Translation Models with Neural Networks,MT,2012,SKG,0.6738219261169434,0
SKG_MT_93,A Class-Based Agreement Model for Generating Accurately Inflected Translations,MT,2012,SKG,0.942705512046814,0
SKG_PAR_3,Vine Pruning for Efficient Multi-Pass Dependency Parsing,PAR,2012,SKG,0.9117158651351928,0
SKG_MT_415,An Exploration of Forest-to-String Translation Does Translation Help or Hurt Parsing,MT,2012,SKG,0.9241536259651184,0
SKG_MT_480,Real-time Incremental Speech-to-Speech Translation of Dialogs,MT,2012,SKG,0.9156676530838012,0
SKG_MT_1228,Using Syntactic Head Information in Hierarchical Phrase-Based Translation,MT,2012,SKG,0.9472177624702454,0
SKG_MT_1209,Language Models for Machine Translation Original vs. Translated Texts,MT,2012,SKG,0.9125903844833374,0
SKG_MT_453,Opinion Target Extraction Using Word-Based Translation Model,MT,2012,SKG,0.9382346272468568,0
SKG_MT_469,Twitter Translation using Translation-Based Cross-Lingual Retrieval,MT,2012,SKG,0.9297516942024232,0
SKG_MT_239,Combining Word-Level and Character-Level Models for Machine Translation Between Closely-Related Languages,MT,2012,SKG,0.9372634887695312,0
SKG_SUM_59,Multiple Aspect Summarization Using Integer Linear Programming,SUM,2012,SKG,0.9229167699813844,0
SKG_MT_1077,Perplexity Minimization for Translation Model Domain Adaptation in Statistical Machine Translation,MT,2012,SKG,0.9221858978271484,0
SKG_MT_1065,Character-Based Pivot Translation for Under-Resourced Languages and Domains,MT,2012,SKG,0.9410532116889954,0
SKG_PAR_200,Concavity and Initialization for Unsupervised Dependency Parsing,PAR,2012,SKG,0.9095252156257628,0
SKG_MT_259,Fast and Scalable Decoding with Language Model Look-Ahead for Phrase-based Statistical Machine Translation,MT,2012,SKG,0.932247757911682,0
SKG_PAR_127,The Challenges of Parsing Chinese with Combinatory Categorial Grammar,PAR,2012,SKG,0.920176327228546,0
SKG_MT_410,Phrase Model Training for Statistical Machine Translation with Word Lattices of Preprocessing Alternatives,MT,2012,SKG,0.9474869966506958,1
SKG_MT_373,Optimization Strategies for Online Large-Margin Learning in Machine Translation,MT,2012,SKG,0.9190605878829956,0
SKG_SUM_97,Community Answer Summarization for Multi-Sentence Question with Group L1 Regularization,SUM,2012,SKG,0.7752321362495422,0
SKG_MT_1175,Character-Level Machine Translation Evaluation for Languages with Ambiguous Word Boundaries,MT,2012,SKG,0.7752321362495422,0
SKG_MT_1177,Modified Distortion Matrices for Phrase-Based Statistical Machine Translation,MT,2012,SKG,0.9434460401535034,0
SKG_MT_1062,Tree Kernels for Machine Translation Quality Estimation,MT,2012,SKG,0.9308689832687378,0
SKG_MT_1276,Using Syntactic Head Information in Hierarchical Phrase-Based Translation,MT,2012,SKG,0.9472177624702454,0
SKG_MT_724,Forced Derivation Tree based Model Training to Statistical Machine Translation,MT,2012,SKG,0.9476776123046876,1
SKG_QA_487,Automatically Mining Question Reformulation Patterns from Search Log Data,QA,2012,SKG,0.916898548603058,0
SKG_MT_451,Combining Coherence Models and Machine Translation Evaluation Metrics for Summarization Evaluation,MT,2012,SKG,0.9247159957885742,0
SKG_DIA_231,IRIS a Chat-oriented Dialogue System based on the Vector Space Model,DIA,2012,SKG,0.9056790471076964,0
SKG_MT_1395,Learning Translation Consensus with Structured Label Propagation,MT,2012,SKG,0.9384799003601074,0
SKG_MT_1376,The Karlsruhe Institute of Technology Translation Systems for the WMT 2012,MT,2012,SKG,0.9455555081367492,0
SKG_SA_148,Active Learning for Imbalanced Sentiment Classification,SA,2012,SKG,0.9184222221374512,0
SKG_MT_1421,Smaller Alignment Models for Better Translations Unsupervised Word Alignment with the l0-norm,MT,2012,SKG,0.9361969232559204,0
SKG_SA_5,Cross-Lingual Mixture Model for Sentiment Classification,SA,2012,SKG,0.9315387606620787,0
SKG_MT_788,Structural and Topical Dimensions in Multi-Task Patent Translation,MT,2012,SKG,0.9280381202697754,0
SKG_MT_835,Learning Better Rule Extraction with Translation Span Alignment,MT,2012,SKG,0.921446681022644,0
SKG_MT_832,Mixing Multiple Translation Models in Statistical Machine Translation,MT,2012,SKG,0.9353345036506652,0
SKG_MT_1349,Enhancing Statistical Machine Translation with Character Alignment,MT,2012,SKG,0.9352315068244934,0
SKG_MT_1361,Toward Statistical Machine Translation without Parallel Corpora,MT,2012,SKG,0.938146710395813,0
SKG_MT_1327,Hierarchical Chunk-to-String Translation,MT,2012,SKG,0.9350900650024414,0
SKG_SA_268,Cross-Domain Co-Extraction of Sentiment and Topic Lexicons,SA,2012,SKG,0.933083713054657,0
SKG_MT_865,Kriya - The SFU System for Translation Task at WMT-12,MT,2012,SKG,0.9350346326828004,0
SKG_SA_24,"Baselines and Bigrams Simple, Good Sentiment and Topic Classification",SA,2012,SKG,0.914953351020813,0
SKG_MT_1165,Machine Translation without Words through Substring Alignment,MT,2012,SKG,0.9422853589057922,0
SKG_MT_1174,QCRI at WMT12 Experiments in Spanish-English and German-English Machine Translation of News Text,MT,2012,SKG,0.930456817150116,0
SKG_MT_346,Modeling the Translation of Predicate-Argument Structure for SMT,MT,2012,SKG,0.9375354647636414,0
SKG_SUM_147,Framework of Automatic Text Summarization Using Reinforcement Learning,SUM,2012,SKG,0.9241622686386108,0
SKG_SUM_193,Using Supervised Bigram-based ILP for Extractive Summarization,SUM,2013,SKG,0.9402364492416382,0
SKG_MT_1090,Joint Language and Translation Modeling with Recurrent Neural Networks,MT,2013,SKG,0.9487498998641968,1
SKG_MT_376,Online Relative Margin Maximization for Statistical Machine Translation,MT,2013,SKG,0.9350557327270508,0
SKG_PAR_204,"A Lattice-based Framework for Joint Chinese Word Segmentation, POS Tagging and Parsing",PAR,2013,SKG,0.9374802708625792,0
SKG_MT_332,Improving Syntax-Augmented Machine Translation by Coarsening the Label Set,MT,2013,SKG,0.912606418132782,0
SKG_MT_337,A Phrase Orientation Model for Hierarchical Machine Translation,MT,2013,SKG,0.9484140276908876,1
SKG_MT_372,Max-Margin Synchronous Grammar Induction for Machine Translation,MT,2013,SKG,0.9439321756362916,0
SKG_MT_375,Bilingual Lexical Cohesion Trigger Model for Document-Level Machine Translation,MT,2013,SKG,0.9378825426101683,0
SKG_MT_371,Lexical Chain Based Cohesion Models for Document-Level Statistical Machine Translation,MT,2013,SKG,0.9378458857536316,0
SKG_SA_306,Exploring Demographic Language Variations to Improve Multilingual Sentiment Analysis in Social Media,SA,2013,SKG,0.9141212701797484,0
SKG_SA_296,Utterance-Level Multimodal Sentiment Analysis,SA,2013,SKG,0.9320505261421204,0
SKG_MT_824,Quality Estimation for Machine Translation Using the Joint Method of Evaluation Criteria and Statistical Modeling,MT,2013,SKG,0.9299627542495728,0
SKG_MT_290,Handling Ambiguities of Bilingual Predicate-Argument Structures for Statistical Machine Translation,MT,2013,SKG,0.9091029167175292,0
SKG_MT_282,Part-of-Speech Induction in Dependency Trees for Statistical Machine Translation,MT,2013,SKG,0.9398872256278992,0
SKG_MT_268,Online Learning Approaches in Computer Assisted Translation,MT,2013,SKG,0.9365171194076538,0
SKG_MT_277,A Markov Model of Machine Translation using Non-parametric Bayesian Inference,MT,2013,SKG,0.9526384472846984,1
SKG_SA_318,Probabilistic Sense Sentiment Similarity through Hidden Emotions,SA,2013,SKG,0.9123672246932985,0
SKG_MT_1326,Integrating Phrase-based Reordering Features into a Chart-based Decoder for Machine Translation,MT,2013,SKG,0.9393628239631652,0
SKG_PAR_139,Iterative Transformation of Annotation Guidelines for Constituency Parsing,PAR,2013,SKG,0.9163247346878052,0
SKG_MT_829,Discriminative Training of 150 Million Translation Parameters and Its Application to Pruning,MT,2013,SKG,0.9305315017700196,0
SKG_SUM_0,Document Summarization via Guided Sentence Compression,SUM,2013,SKG,0.9375856518745422,0
SKG_SA_229,NTNU Domain Semi-Independent Short Message Sentiment Classification,SA,2013,SKG,0.916316032409668,0
SKG_MT_1324,Scalable Decipherment for Machine Translation via Hash Sampling,MT,2013,SKG,0.9376410245895386,0
SKG_QA_3,Minimum Bayes Risk based Answer Re-ranking for Question Answering,QA,2013,SKG,0.9292929768562316,0
SKG_MT_1290,Fast and Adaptive Online Training of Feature-Rich Translation Models,MT,2013,SKG,0.9394739866256714,0
SKG_MT_869,TransDoop A Map-Reduce based Crowdsourced Translation for Complex Domain,MT,2013,SKG,0.9333524703979492,0
SKG_MT_225,A Shift-Reduce Parsing Algorithm for Phrase-based String-to-Dependency Translation,MT,2013,SKG,0.9495899081230164,1
SKG_MT_1310,A Systematic Exploration of Diversity in Machine Translation,MT,2013,SKG,0.9375360608100892,0
SKG_MT_1069,Applying Pairwise Ranked Optimisation to Improve the Interpolation of Translation Models,MT,2013,SKG,0.9206191301345824,0
SKG_MT_845,Efficient Left-to-Right Hierarchical Phrase-Based Translation with Improved Reordering,MT,2013,SKG,0.9277521967887878,0
SKG_SUM_34,Automatically Determining a Proper Length for Multi-Document Summarization A Bayesian Nonparametric Approach,SUM,2013,SKG,0.9232589602470398,0
SKG_MT_1082,A Beam-Search Decoder for Normalization of Social Media Text with Application to Machine Translation,MT,2013,SKG,0.9310288429260254,0
SKG_PAR_52,Approximate PCFG Parsing Using Tensor Decomposition,PAR,2013,SKG,0.8886574506759644,0
SKG_MT_515,Modelling Annotator Bias with Multi-task Gaussian Processes An Application to Machine Translation Quality Estimation,MT,2013,SKG,0.9217127561569214,0
SKG_QA_84,The Answer is at your Fingertips Improving Passage Retrieval for Web Question Answering with Search Behavior Data,QA,2013,SKG,0.9211609959602356,0
SKG_MT_885,Using a Supertagged Dependency Language Model to Select a Good Translation in System Combination,MT,2013,SKG,0.950334370136261,1
SKG_MT_1386,Phrase Training Based Adaptation for Statistical Machine Translation,MT,2013,SKG,0.9340189099311828,0
SKG_MT_740,The Karlsruhe Institute of Technology Translation Systems for the WMT 2013,MT,2013,SKG,0.9581550359725952,1
SKG_MT_741,Improving Pivot-Based Statistical Machine Translation Using Random Walk,MT,2013,SKG,0.9436426162719728,0
SKG_SA_111,Sentiment Analysis How to Derive Prior Polarities from SentiWordNet,SA,2013,SKG,0.9328662157058716,0
SKG_SA_577,AMI&ERIC How to Learn with Naive Bayes and Prior Knowledge an Application to Sentiment Analysis,SA,2013,SKG,0.92265784740448,0
SKG_SA_557,Columbia NLP Sentiment Detection of Subjective Phrases in Social Media,SA,2013,SKG,0.9221968650817872,0
SKG_MT_1211,Semantic Roles for String to Tree Machine Translation,MT,2013,SKG,0.9303218126296996,0
